game_id,date,time,league,team,player,place,full_time,first_ht,second_ht,result_full_time,result_first_ht,result_second_ht
0f3c195f-ed32-4658-afdb-dfc62a567f9d,2020-04-28,10:26,Bundesliga,Байер 04,JKey,HOME,0,0,0,L,D,L
0f3c195f-ed32-4658-afdb-dfc62a567f9d,2020-04-28,10:26,Bundesliga,Боруссия Дортмунд,Skromnuy,AWAY,2,0,2,W,D,W
090b5767-e8b5-4105-8e69-c1808741d21b,2020-04-28,10:26,Bundesliga,Боруссия Менхенгладбах,Arcos,HOME,2,1,1,L,D,L
090b5767-e8b5-4105-8e69-c1808741d21b,2020-04-28,10:26,Bundesliga,Бавария,d1pseN,AWAY,3,1,2,W,D,W
7bf6758e-865f-4012-b70f-233d8ccabe75,2020-04-28,10:38,Bundesliga,Бавария,d1pseN,HOME,4,3,1,W,W,W
7bf6758e-865f-4012-b70f-233d8ccabe75,2020-04-28,10:38,Bundesliga,РБ Лейпциг,LaikingDast,AWAY,1,1,0,L,L,L
5b262abe-7250-47fd-9e9c-706b97262c24,2020-04-28,10:38,Bundesliga,Боруссия Дортмунд,Skromnuy,HOME,0,0,0,L,L,D
5b262abe-7250-47fd-9e9c-706b97262c24,2020-04-28,10:38,Bundesliga,Боруссия Менхенгладбах,Arcos,AWAY,1,1,0,W,W,D
30562516-a506-4640-b1d3-67283db23306,2020-04-28,10:50,Bundesliga,Боруссия Менхенгладбах,Arcos,HOME,1,0,1,D,D,D
30562516-a506-4640-b1d3-67283db23306,2020-04-28,10:50,Bundesliga,Байер 04,JKey,AWAY,1,0,1,D,D,D
f4f5c941-3f58-403a-85e5-a8858cabe7ee,2020-04-28,10:50,Bundesliga,РБ Лейпциг,LaikingDast,HOME,0,0,0,L,L,L
f4f5c941-3f58-403a-85e5-a8858cabe7ee,2020-04-28,10:50,Bundesliga,Боруссия Дортмунд,Skromnuy,AWAY,2,1,1,W,W,W
d003ec55-bcf2-4f83-92a1-d262541452e9,2020-04-28,11:02,Bundesliga,Байер 04,JKey,HOME,0,0,0,L,L,L
d003ec55-bcf2-4f83-92a1-d262541452e9,2020-04-28,11:02,Bundesliga,РБ Лейпциг,LaikingDast,AWAY,3,1,2,W,W,W
d3484f5e-6985-4fae-af38-bc25f24718cf,2020-04-28,11:02,Bundesliga,Боруссия Дортмунд,Skromnuy,HOME,1,0,1,W,D,W
d3484f5e-6985-4fae-af38-bc25f24718cf,2020-04-28,11:02,Bundesliga,Бавария,d1pseN,AWAY,0,0,0,L,D,L
e7a4c135-ba61-4034-af4a-f11382ebf848,2020-04-28,11:14,Bundesliga,Бавария,d1pseN,HOME,3,2,1,W,W,W
e7a4c135-ba61-4034-af4a-f11382ebf848,2020-04-28,11:14,Bundesliga,Байер 04,JKey,AWAY,1,1,0,L,L,L
3216a1a9-4e79-497a-928a-b88d436ede3b,2020-04-28,11:14,Bundesliga,РБ Лейпциг,LaikingDast,HOME,0,0,0,L,L,D
3216a1a9-4e79-497a-928a-b88d436ede3b,2020-04-28,11:14,Bundesliga,Боруссия Менхенгладбах,Arcos,AWAY,2,2,0,W,W,D
98f67953-2b3a-4635-be48-dc34a008bf8c,2020-04-28,11:26,Bundesliga,Бавария,d1pseN,HOME,2,0,2,L,L,W
98f67953-2b3a-4635-be48-dc34a008bf8c,2020-04-28,11:26,Bundesliga,Боруссия Менхенгладбах,Arcos,AWAY,3,2,1,W,W,L
b1a07708-629f-4f1a-a1a3-8d4a173f5ba1,2020-04-28,11:26,Bundesliga,Боруссия Дортмунд,Skromnuy,HOME,2,0,2,W,D,W
b1a07708-629f-4f1a-a1a3-8d4a173f5ba1,2020-04-28,11:26,Bundesliga,Байер 04,JKey,AWAY,0,0,0,L,D,L
63dfdc34-0b9f-4878-9dee-e8bf8219a624,2020-04-28,11:38,Bundesliga,Боруссия Менхенгладбах,Arcos,HOME,0,0,0,L,D,L
63dfdc34-0b9f-4878-9dee-e8bf8219a624,2020-04-28,11:38,Bundesliga,Боруссия Дортмунд,Skromnuy,AWAY,1,0,1,W,D,W
86d8a728-d6d3-4cc7-97c3-531af4b73026,2020-04-28,11:38,Bundesliga,РБ Лейпциг,LaikingDast,HOME,1,1,0,D,D,D
86d8a728-d6d3-4cc7-97c3-531af4b73026,2020-04-28,11:38,Bundesliga,Бавария,d1pseN,AWAY,1,1,0,D,D,D
eec414d6-2bc4-4467-b92d-fbfbe945548d,2020-04-28,11:50,Bundesliga,Байер 04,JKey,HOME,0,0,0,L,D,L
eec414d6-2bc4-4467-b92d-fbfbe945548d,2020-04-28,11:50,Bundesliga,Боруссия Менхенгладбах,Arcos,AWAY,1,0,1,W,D,W
5c7c054e-c656-4dcd-a67b-dea240ef7a6f,2020-04-28,11:50,Bundesliga,Боруссия Дортмунд,Skromnuy,HOME,3,1,2,W,W,W
5c7c054e-c656-4dcd-a67b-dea240ef7a6f,2020-04-28,11:50,Bundesliga,РБ Лейпциг,LaikingDast,AWAY,0,0,0,L,L,L
