game_id,date,time,league,team,player,place,full_time,first_ht,second_ht,result_full_time,result_first_ht,result_second_ht,not_parsed
9ff50a62-ed96-45e8-9bc9-1b82deaedf7d,2020-04-07,10:26,Bundesliga,Бавария,Kodak,HOME,1,1,0,W,W,D,
9ff50a62-ed96-45e8-9bc9-1b82deaedf7d,2020-04-07,10:26,Bundesliga,Боруссия Менхенгладбах,Lomik,AWAY,0,0,0,L,L,D,
e7d195d5-335d-459b-8dff-231716d40764,2020-04-07,10:26,Bundesliga,Байер 04,KravaRK,HOME,1,0,1,W,D,W,
e7d195d5-335d-459b-8dff-231716d40764,2020-04-07,10:26,Bundesliga,Боруссия Дортмунд,Mr.Jab,AWAY,0,0,0,L,D,L,
582ffb73-44f4-4539-9b27-ca8c87a1c6f9,2020-04-07,10:38,Bundesliga,Боруссия Дортмунд,Mr.Jab,HOME,0,0,0,L,L,L,
582ffb73-44f4-4539-9b27-ca8c87a1c6f9,2020-04-07,10:38,Bundesliga,РБ Лейпциг,Skromnuy,AWAY,2,1,1,W,W,W,
11fe3a37-50de-4bb7-af8b-473e1bf0bb4e,2020-04-07,10:38,Bundesliga,Боруссия Менхенгладбах,Lomik,HOME,0,0,0,L,L,D,
11fe3a37-50de-4bb7-af8b-473e1bf0bb4e,2020-04-07,10:38,Bundesliga,Байер 04,KravaRK,AWAY,3,3,0,W,W,D,
c71b201e-4190-473c-bfcd-7d6dc2231b2f,2020-04-07,10:50,Bundesliga,Байер 04,KravaRK,HOME,2,1,1,D,D,D,
c71b201e-4190-473c-bfcd-7d6dc2231b2f,2020-04-07,10:50,Bundesliga,Бавария,Kodak,AWAY,2,1,1,D,D,D,
d9d87b11-e719-45e1-9290-e27762ca6a15,2020-04-07,10:50,Bundesliga,РБ Лейпциг,Skromnuy,HOME,1,0,1,D,L,W,
d9d87b11-e719-45e1-9290-e27762ca6a15,2020-04-07,10:50,Bundesliga,Боруссия Менхенгладбах,Lomik,AWAY,1,1,0,D,W,L,
1c7b499c-3549-4b2b-87e3-913fa5e43309,2020-04-07,11:02,Bundesliga,Бавария,Kodak,HOME,0,0,0,L,D,L,
1c7b499c-3549-4b2b-87e3-913fa5e43309,2020-04-07,11:02,Bundesliga,РБ Лейпциг,Skromnuy,AWAY,1,0,1,W,D,W,
1107757c-4c6e-4e99-8828-17223292829e,2020-04-07,11:02,Bundesliga,Боруссия Менхенгладбах,Lomik,HOME,0,0,0,L,L,L,
1107757c-4c6e-4e99-8828-17223292829e,2020-04-07,11:02,Bundesliga,Боруссия Дортмунд,Mr.Jab,AWAY,4,2,2,W,W,W,
632d5e72-5816-48aa-bb5f-72b8455b667d,2020-04-07,11:14,Bundesliga,Боруссия Дортмунд,Mr.Jab,HOME,2,1,1,W,W,W,
632d5e72-5816-48aa-bb5f-72b8455b667d,2020-04-07,11:14,Bundesliga,Бавария,Kodak,AWAY,0,0,0,L,L,L,
fbac53b1-180a-400a-9281-bf07a26e213a,2020-04-07,11:14,Bundesliga,РБ Лейпциг,Skromnuy,HOME,0,0,0,L,D,L,
fbac53b1-180a-400a-9281-bf07a26e213a,2020-04-07,11:14,Bundesliga,Байер 04,KravaRK,AWAY,1,0,1,W,D,W,
ab90b951-9133-4f35-98f2-91d7c41746b5,2020-04-07,11:26,Bundesliga,Боруссия Дортмунд,Mr.Jab,HOME,1,0,1,D,D,D,
ab90b951-9133-4f35-98f2-91d7c41746b5,2020-04-07,11:26,Bundesliga,Байер 04,KravaRK,AWAY,1,0,1,D,D,D,
5586914e-a3ab-4650-8152-24e01ef58197,2020-04-07,11:26,Bundesliga,Боруссия Менхенгладбах,Lomik,HOME,2,1,1,W,W,W,
5586914e-a3ab-4650-8152-24e01ef58197,2020-04-07,11:26,Bundesliga,Бавария,Kodak,AWAY,0,0,0,L,L,L,
a3486f9d-11d8-47d7-9d56-4b1dae6d2b79,2020-04-07,11:38,Bundesliga,Байер 04,KravaRK,HOME,2,2,0,D,W,L,
a3486f9d-11d8-47d7-9d56-4b1dae6d2b79,2020-04-07,11:38,Bundesliga,Боруссия Менхенгладбах,Lomik,AWAY,2,1,1,D,L,W,
2c2731fd-fb0d-4932-bbb2-5706c7f4c36c,2020-04-07,11:38,Bundesliga,РБ Лейпциг,Skromnuy,HOME,2,1,1,W,W,W,
2c2731fd-fb0d-4932-bbb2-5706c7f4c36c,2020-04-07,11:38,Bundesliga,Боруссия Дортмунд,Mr.Jab,AWAY,0,0,0,L,L,L,
e7a2d4d0-8abe-4bdd-9032-dac8c6d2b43c,2020-04-07,11:50,Bundesliga,Бавария,Kodak,HOME,1,0,1,L,L,D,
e7a2d4d0-8abe-4bdd-9032-dac8c6d2b43c,2020-04-07,11:50,Bundesliga,Байер 04,KravaRK,AWAY,2,1,1,W,W,D,
073d6c8b-14e9-4e16-9909-01e52d3de1ad,2020-04-07,11:50,Bundesliga,Боруссия Менхенгладбах,Lomik,HOME,0,0,0,L,L,L,
073d6c8b-14e9-4e16-9909-01e52d3de1ad,2020-04-07,11:50,Bundesliga,РБ Лейпциг,Skromnuy,AWAY,5,3,2,W,W,W,
4c048eb3-bc4b-433a-9e40-15de1bf625e3,2020-04-07,12:02,Bundesliga,Боруссия Дортмунд,Mr.Jab,HOME,1,0,1,D,D,D,
4c048eb3-bc4b-433a-9e40-15de1bf625e3,2020-04-07,12:02,Bundesliga,Боруссия Менхенгладбах,Lomik,AWAY,1,0,1,D,D,D,
3c673268-b2ee-4b93-a31e-bb728bc503d8,2020-04-07,12:02,Bundesliga,РБ Лейпциг,Skromnuy,HOME,1,1,0,W,W,D,
3c673268-b2ee-4b93-a31e-bb728bc503d8,2020-04-07,12:02,Bundesliga,Бавария,Kodak,AWAY,0,0,0,L,L,D,
66dd96c5-ac60-4e1a-97a2-923301c2542c,2020-04-07,12:14,Bundesliga,Бавария,Kodak,HOME,0,0,0,L,L,L,
66dd96c5-ac60-4e1a-97a2-923301c2542c,2020-04-07,12:14,Bundesliga,Боруссия Дортмунд,Mr.Jab,AWAY,2,1,1,W,W,W,
bffcf490-f1d5-44c1-bcff-45dc35765df9,2020-04-07,12:14,Bundesliga,Байер 04,KravaRK,HOME,2,0,2,W,L,W,
bffcf490-f1d5-44c1-bcff-45dc35765df9,2020-04-07,12:14,Bundesliga,РБ Лейпциг,Skromnuy,AWAY,1,1,0,L,W,L,
1436ac92-74a7-48c4-a12d-60dacdf492b3,2020-04-07,07:56,Champions League,Барселона,DangerDim77,HOME,0,0,0,L,L,D,
1436ac92-74a7-48c4-a12d-60dacdf492b3,2020-04-07,07:56,Champions League,ПСЖ,nikkitta,AWAY,1,1,0,W,W,D,
522a0ca7-53e8-43ca-a933-3adea61b8473,2020-04-07,07:56,Champions League,Ливерпуль,orlovsky1,HOME,1,1,0,L,W,L,
