game_id,date,time,league,team,player,place,full_time,first_ht,second_ht,result_full_time,result_first_ht,result_second_ht,not_parsed
3ec61456-1b77-4e64-86dd-8e08ec9d7505,2020-03-29,16:56,Champions League,Манчестер Сити,orlovsky1,HOME,1,0,1,W,D,W,
3ec61456-1b77-4e64-86dd-8e08ec9d7505,2020-03-29,16:56,Champions League,Барселона,Foggy,AWAY,0,0,0,L,D,L,
8dfc38c8-8f7c-41b9-b686-b5161ebcffb2,2020-03-29,17:08,Champions League,Барселона,Foggy,HOME,1,1,0,D,W,L,
8dfc38c8-8f7c-41b9-b686-b5161ebcffb2,2020-03-29,17:08,Champions League,Ливерпуль,dm1trena,AWAY,1,0,1,D,L,W,
2b8641b7-fe1d-4dd2-a709-3bdeb89ad940,2020-03-29,17:20,Champions League,Ливерпуль,dm1trena,HOME,0,0,0,D,D,D,
2b8641b7-fe1d-4dd2-a709-3bdeb89ad940,2020-03-29,17:20,Champions League,Манчестер Сити,orlovsky1,AWAY,0,0,0,D,D,D,
7642b422-d6af-4f8e-8c89-9f7408aa1d88,2020-03-29,17:20,Champions League,ПСЖ,slezaintima,HOME,2,1,1,W,W,W,
7642b422-d6af-4f8e-8c89-9f7408aa1d88,2020-03-29,17:20,Champions League,Барселона,Foggy,AWAY,0,0,0,L,L,L,
8fcb963f-8ef1-4233-8cc5-f35c77572ba5,2020-03-29,17:32,Champions League,Манчестер Сити,orlovsky1,HOME,0,0,0,D,D,D,
8fcb963f-8ef1-4233-8cc5-f35c77572ba5,2020-03-29,17:32,Champions League,ПСЖ,slezaintima,AWAY,0,0,0,D,D,D,
232903b9-ec36-456c-b727-b44eed497cfa,2020-03-29,17:44,Champions League,ПСЖ,slezaintima,HOME,1,1,0,D,D,D,
232903b9-ec36-456c-b727-b44eed497cfa,2020-03-29,17:44,Champions League,Ливерпуль,dm1trena,AWAY,1,1,0,D,D,D,
