game_id,date,time,league,team,player,place,full_time,first_ht,second_ht,result_full_time,result_first_ht,result_second_ht
81d1be8f-35c7-4600-9683-b1f04951dd89,2020-04-21,10:26,Bundesliga,Бавария,KravaRK,HOME,2,1,1,W,W,W
81d1be8f-35c7-4600-9683-b1f04951dd89,2020-04-21,10:26,Bundesliga,Боруссия Дортмунд,d1pseN,AWAY,0,0,0,L,L,L
c084c608-2b73-40d4-b83b-26bb9c1935f0,2020-04-21,10:26,Bundesliga,Байер 04,Arcos,HOME,3,2,1,W,W,W
c084c608-2b73-40d4-b83b-26bb9c1935f0,2020-04-21,10:26,Bundesliga,Боруссия Менхенгладбах,Boulevard_Prospect,AWAY,0,0,0,L,L,L
5b76c587-6dfc-4080-899b-321f3686d64c,2020-04-21,10:38,Bundesliga,Боруссия Дортмунд,d1pseN,HOME,0,0,0,L,L,D
5b76c587-6dfc-4080-899b-321f3686d64c,2020-04-21,10:38,Bundesliga,Байер 04,Arcos,AWAY,3,3,0,W,W,D
3dc208ca-d3c6-4e6b-8d5f-4bf839c68d0c,2020-04-21,10:38,Bundesliga,Боруссия Менхенгладбах,Boulevard_Prospect,HOME,1,1,0,D,W,L
3dc208ca-d3c6-4e6b-8d5f-4bf839c68d0c,2020-04-21,10:38,Bundesliga,РБ Лейпциг,LaikingDast,AWAY,1,0,1,D,L,W
63fb2182-de7f-47f5-b3f7-1ca0590274db,2020-04-21,10:50,Bundesliga,Байер 04,Arcos,HOME,1,1,0,W,W,D
63fb2182-de7f-47f5-b3f7-1ca0590274db,2020-04-21,10:50,Bundesliga,Бавария,KravaRK,AWAY,0,0,0,L,L,D
f9c1a081-b97c-4163-8ee9-4f38215f0bb5,2020-04-21,10:50,Bundesliga,РБ Лейпциг,LaikingDast,HOME,1,1,0,W,W,D
f9c1a081-b97c-4163-8ee9-4f38215f0bb5,2020-04-21,10:50,Bundesliga,Боруссия Дортмунд,d1pseN,AWAY,0,0,0,L,L,D
b0b64180-d418-4512-8ab4-cbd20e6b5752,2020-04-21,11:02,Bundesliga,Бавария,KravaRK,HOME,1,1,0,L,D,L
b0b64180-d418-4512-8ab4-cbd20e6b5752,2020-04-21,11:02,Bundesliga,РБ Лейпциг,LaikingDast,AWAY,2,1,1,W,D,W
54ea9b6f-ac5e-477d-99d3-54683f6dca11,2020-04-21,11:02,Bundesliga,Боруссия Дортмунд,d1pseN,HOME,2,1,1,D,D,D
54ea9b6f-ac5e-477d-99d3-54683f6dca11,2020-04-21,11:02,Bundesliga,Боруссия Менхенгладбах,Boulevard_Prospect,AWAY,2,1,1,D,D,D
8713bcb7-a3ea-4c54-9805-0b07495bac7e,2020-04-21,11:14,Bundesliga,Боруссия Менхенгладбах,Boulevard_Prospect,HOME,0,0,0,D,D,D
8713bcb7-a3ea-4c54-9805-0b07495bac7e,2020-04-21,11:14,Bundesliga,Бавария,KravaRK,AWAY,0,0,0,D,D,D
63d74f44-4fc0-4b1f-be33-5a0e50331455,2020-04-21,11:14,Bundesliga,РБ Лейпциг,LaikingDast,HOME,1,1,0,L,W,L
63d74f44-4fc0-4b1f-be33-5a0e50331455,2020-04-21,11:14,Bundesliga,Байер 04,Arcos,AWAY,3,0,3,W,L,W
9da65b12-f06e-4264-b4e4-0eb9288568a8,2020-04-21,11:26,Bundesliga,Боруссия Дортмунд,d1pseN,HOME,1,0,1,D,D,D
9da65b12-f06e-4264-b4e4-0eb9288568a8,2020-04-21,11:26,Bundesliga,Бавария,KravaRK,AWAY,1,0,1,D,D,D
cfc4ed1c-f36b-4267-b492-b88fdb02993c,2020-04-21,11:26,Bundesliga,Боруссия Менхенгладбах,Boulevard_Prospect,HOME,0,0,0,L,L,L
cfc4ed1c-f36b-4267-b492-b88fdb02993c,2020-04-21,11:26,Bundesliga,Байер 04,Arcos,AWAY,3,1,2,W,W,W
2acfb16b-8c85-4fdc-af3b-d0610e2b667b,2020-04-21,11:38,Bundesliga,Байер 04,Arcos,HOME,2,1,1,D,L,W
