game_id,date,time,league,team,player,place,full_time,first_ht,second_ht,result_full_time,result_first_ht,result_second_ht,not_parsed
0aceb2aa-7a86-445a-8f0e-4baa32c8b3a7,2020-03-31,10:26,Bundesliga,Байер 04,vrico,HOME,1,1,0,D,W,L,
0aceb2aa-7a86-445a-8f0e-4baa32c8b3a7,2020-03-31,10:26,Bundesliga,Бавария,Lomik,AWAY,1,0,1,D,L,W,
2e249739-99cf-43b0-897a-6dad6441a832,2020-03-31,10:26,Bundesliga,Боруссия Дортмунд,KravaRK,HOME,2,2,0,D,W,L,
2e249739-99cf-43b0-897a-6dad6441a832,2020-03-31,10:26,Bundesliga,Боруссия Менхенгладбах,Arcos,AWAY,2,0,2,D,L,W,
aff26109-20e1-41d0-a531-83262358efaf,2020-03-31,10:38,Bundesliga,Бавария,Lomik,HOME,1,0,1,L,L,D,
aff26109-20e1-41d0-a531-83262358efaf,2020-03-31,10:38,Bundesliga,Боруссия Дортмунд,KravaRK,AWAY,2,1,1,W,W,D,
58587517-9610-4846-872b-523ec1b4374e,2020-03-31,10:38,Bundesliga,Боруссия Менхенгладбах,Arcos,HOME,3,1,2,W,W,W,
58587517-9610-4846-872b-523ec1b4374e,2020-03-31,10:38,Bundesliga,РБ Лейпциг,Boulevard_Prospect,AWAY,0,0,0,L,L,L,
66f744b5-5f19-4561-add8-9f526f5f720e,2020-03-31,10:50,Bundesliga,Боруссия Дортмунд,KravaRK,HOME,0,0,0,D,D,D,
66f744b5-5f19-4561-add8-9f526f5f720e,2020-03-31,10:50,Bundesliga,Байер 04,vrico,AWAY,0,0,0,D,D,D,
a742f5c4-575a-4ccc-bd3c-d27990116d41,2020-03-31,10:50,Bundesliga,РБ Лейпциг,Boulevard_Prospect,HOME,0,0,0,L,D,L,
a742f5c4-575a-4ccc-bd3c-d27990116d41,2020-03-31,10:50,Bundesliga,Бавария,Lomik,AWAY,1,0,1,W,D,W,
1e61f354-a32c-4986-b336-5c16a173e459,2020-03-31,11:02,Bundesliga,Бавария,Lomik,HOME,3,2,1,W,W,W,
1e61f354-a32c-4986-b336-5c16a173e459,2020-03-31,11:02,Bundesliga,Боруссия Менхенгладбах,Arcos,AWAY,0,0,0,L,L,L,
d48ea583-040f-496d-869b-ae28b04439cf,2020-03-31,11:02,Bundesliga,Байер 04,vrico,HOME,1,1,0,L,W,L,
d48ea583-040f-496d-869b-ae28b04439cf,2020-03-31,11:02,Bundesliga,РБ Лейпциг,Boulevard_Prospect,AWAY,2,0,2,W,L,W,
1dbb6602-3992-48c5-bc0a-d61dc8ea25f5,2020-03-31,11:14,Bundesliga,Боруссия Менхенгладбах,Arcos,HOME,0,0,0,L,L,L,
1dbb6602-3992-48c5-bc0a-d61dc8ea25f5,2020-03-31,11:14,Bundesliga,Байер 04,vrico,AWAY,3,2,1,W,W,W,
63f8f6a2-47ec-448d-97ff-408e922cafbc,2020-03-31,11:14,Bundesliga,РБ Лейпциг,Boulevard_Prospect,HOME,0,0,0,L,L,D,
63f8f6a2-47ec-448d-97ff-408e922cafbc,2020-03-31,11:14,Bundesliga,Боруссия Дортмунд,KravaRK,AWAY,1,1,0,W,W,D,
68dac880-d9af-450f-89d1-392a9c02b87c,2020-03-31,11:26,Bundesliga,Бавария,Lomik,HOME,2,1,1,W,W,D,
68dac880-d9af-450f-89d1-392a9c02b87c,2020-03-31,11:26,Bundesliga,Байер 04,vrico,AWAY,1,0,1,L,L,D,
82bf1b30-1e55-4939-a6f8-891d519b935d,2020-03-31,11:26,Bundesliga,Боруссия Менхенгладбах,Arcos,HOME,2,0,2,D,L,W,
82bf1b30-1e55-4939-a6f8-891d519b935d,2020-03-31,11:26,Bundesliga,Боруссия Дортмунд,KravaRK,AWAY,2,1,1,D,W,L,
ea164dcf-776a-4946-8962-c7c175cc8bff,2020-03-31,11:38,Bundesliga,Боруссия Дортмунд,KravaRK,HOME,0,0,0,D,D,D,
ea164dcf-776a-4946-8962-c7c175cc8bff,2020-03-31,11:38,Bundesliga,Бавария,Lomik,AWAY,0,0,0,D,D,D,
0251f674-bdd2-4a71-9ad8-ee0db5177319,2020-03-31,11:38,Bundesliga,РБ Лейпциг,Boulevard_Prospect,HOME,1,1,0,W,W,D,
0251f674-bdd2-4a71-9ad8-ee0db5177319,2020-03-31,11:38,Bundesliga,Боруссия Менхенгладбах,Arcos,AWAY,0,0,0,L,L,D,
62f4420d-d428-4ac9-a0ff-6976f381f70c,2020-03-31,11:50,Bundesliga,Бавария,Lomik,HOME,0,0,0,L,L,L,
62f4420d-d428-4ac9-a0ff-6976f381f70c,2020-03-31,11:50,Bundesliga,РБ Лейпциг,Boulevard_Prospect,AWAY,4,1,3,W,W,W,
80102a2f-4f46-4317-b436-d32599fb7823,2020-03-31,11:50,Bundesliga,Байер 04,vrico,HOME,2,1,1,D,W,L,
80102a2f-4f46-4317-b436-d32599fb7823,2020-03-31,11:50,Bundesliga,Боруссия Дортмунд,KravaRK,AWAY,2,0,2,D,L,W,
12118804-45b1-4ac1-9986-8426129e3c2c,2020-03-31,12:02,Bundesliga,Боруссия Менхенгладбах,Arcos,HOME,1,1,0,W,W,D,
12118804-45b1-4ac1-9986-8426129e3c2c,2020-03-31,12:02,Bundesliga,Бавария,Lomik,AWAY,0,0,0,L,L,D,
deb1ec4d-ff88-48f9-a2f3-130090588d22,2020-03-31,12:02,Bundesliga,РБ Лейпциг,Boulevard_Prospect,HOME,2,1,1,W,W,W,
deb1ec4d-ff88-48f9-a2f3-130090588d22,2020-03-31,12:02,Bundesliga,Байер 04,vrico,AWAY,0,0,0,L,L,L,
809f249a-f523-42cd-83b6-60156237388d,2020-03-31,12:14,Bundesliga,Байер 04,vrico,HOME,0,0,0,L,D,L,
809f249a-f523-42cd-83b6-60156237388d,2020-03-31,12:14,Bundesliga,Боруссия Менхенгладбах,Arcos,AWAY,2,0,2,W,D,W,
f261ade0-45c8-4cb5-8949-230bb6911db6,2020-03-31,12:14,Bundesliga,Боруссия Дортмунд,KravaRK,HOME,1,0,1,L,L,W,
f261ade0-45c8-4cb5-8949-230bb6911db6,2020-03-31,12:14,Bundesliga,РБ Лейпциг,Boulevard_Prospect,AWAY,2,2,0,W,W,L,
021eceac-bb0b-4eda-9d3b-9320e0163ef9,2020-03-31,07:56,Champions League,Ливерпуль,orlovsky1,HOME,2,0,2,W,D,W,
021eceac-bb0b-4eda-9d3b-9320e0163ef9,2020-03-31,07:56,Champions League,Барселона,nikkitta,AWAY,0,0,0,L,D,L,
0bdc1311-de60-4c9b-8b90-4d732f875bf1,2020-03-31,07:56,Champions League,Реал Мадрид,DangerDim77,HOME,2,0,2,D,L,W,
0bdc1311-de60-4c9b-8b90-4d732f875bf1,2020-03-31,07:56,Champions League,ПСЖ,slezaintima,AWAY,2,2,0,D,W,L,
1793fd3a-045a-4e14-afcd-7b3d8d9ed10a,2020-03-31,08:08,Champions League,Барселона,nikkitta,HOME,0,0,0,D,D,D,
1793fd3a-045a-4e14-afcd-7b3d8d9ed10a,2020-03-31,08:08,Champions League,Манчестер Сити,Hrusch,AWAY,0,0,0,D,D,D,
ee241725-4202-4a85-96aa-3f47c9cc18f9,2020-03-31,08:08,Champions League,ПСЖ,slezaintima,HOME,2,1,1,W,W,W,
ee241725-4202-4a85-96aa-3f47c9cc18f9,2020-03-31,08:08,Champions League,Ливерпуль,orlovsky1,AWAY,0,0,0,L,L,L,
a0050c29-910a-46a5-953e-1cd2196ea83d,2020-03-31,08:20,Champions League,Ливерпуль,orlovsky1,HOME,0,0,0,D,D,D,
a0050c29-910a-46a5-953e-1cd2196ea83d,2020-03-31,08:20,Champions League,Реал Мадрид,DangerDim77,AWAY,0,0,0,D,D,D,
f72eeb61-6a0d-43c8-aeb2-8c01680f3442,2020-03-31,08:20,Champions League,Манчестер Сити,Hrusch,HOME,0,0,0,D,D,D,
f72eeb61-6a0d-43c8-aeb2-8c01680f3442,2020-03-31,08:20,Champions League,ПСЖ,slezaintima,AWAY,0,0,0,D,D,D,
034f9ae1-edb1-4856-a6e3-23928931dd4b,2020-03-31,08:32,Champions League,ПСЖ,slezaintima,HOME,0,0,0,D,D,D,
034f9ae1-edb1-4856-a6e3-23928931dd4b,2020-03-31,08:32,Champions League,Барселона,nikkitta,AWAY,0,0,0,D,D,D,
2d753b47-30ad-45e7-bf5e-7d3425447b8e,2020-03-31,08:32,Champions League,Реал Мадрид,DangerDim77,HOME,1,0,1,D,D,D,
2d753b47-30ad-45e7-bf5e-7d3425447b8e,2020-03-31,08:32,Champions League,Манчестер Сити,Hrusch,AWAY,1,0,1,D,D,D,
c8526f6a-a256-4724-8140-d7898f6842f4,2020-03-31,08:44,Champions League,Барселона,nikkitta,HOME,0,0,0,D,D,D,
c8526f6a-a256-4724-8140-d7898f6842f4,2020-03-31,08:44,Champions League,Реал Мадрид,DangerDim77,AWAY,0,0,0,D,D,D,
