game_id,date,time,league,team,player,place,full_time,first_ht,second_ht,result_full_time,result_first_ht,result_second_ht,not_parsed
2d2bbcdf-31bc-4a5a-ba41-44757ab1d01f,2020-04-14,10:26,Bundesliga,Байер 04,d1pseN,HOME,1,1,0,L,D,L,
2d2bbcdf-31bc-4a5a-ba41-44757ab1d01f,2020-04-14,10:26,Bundesliga,Боруссия Дортмунд,Mr.Jab,AWAY,2,1,1,W,D,W,
bf2ecf9c-0d12-423a-952a-8a0a53b2e253,2020-04-14,10:26,Bundesliga,РБ Лейпциг,Bombi1t0,HOME,1,0,1,W,D,W,
bf2ecf9c-0d12-423a-952a-8a0a53b2e253,2020-04-14,10:26,Bundesliga,Бавария,JKey,AWAY,0,0,0,L,D,L,
ab45ca1c-4ed9-4321-bb7a-ba802716e31a,2020-04-14,10:38,Bundesliga,Бавария,JKey,HOME,2,1,1,L,W,L,
ab45ca1c-4ed9-4321-bb7a-ba802716e31a,2020-04-14,10:38,Bundesliga,Байер 04,d1pseN,AWAY,4,0,4,W,L,W,
543610db-c452-4288-bed4-d37269cab1ef,2020-04-14,10:38,Bundesliga,Боруссия Дортмунд,Mr.Jab,HOME,1,0,1,D,L,W,
543610db-c452-4288-bed4-d37269cab1ef,2020-04-14,10:38,Bundesliga,Боруссия Менхенгладбах,PavlikJuravlik,AWAY,1,1,0,D,W,L,
c24a372e-ad90-47a3-b568-457b3cb08a7c,2020-04-14,10:50,Bundesliga,Байер 04,d1pseN,HOME,1,0,1,L,L,L,
c24a372e-ad90-47a3-b568-457b3cb08a7c,2020-04-14,10:50,Bundesliga,РБ Лейпциг,Bombi1t0,AWAY,4,1,3,W,W,W,
d7607bd6-50d8-489a-8492-894882e90f21,2020-04-14,10:50,Bundesliga,Боруссия Менхенгладбах,PavlikJuravlik,HOME,2,1,1,W,D,W,
d7607bd6-50d8-489a-8492-894882e90f21,2020-04-14,10:50,Bundesliga,Бавария,JKey,AWAY,1,1,0,L,D,L,
80cf2756-1fae-4272-9990-574e4f91f915,2020-04-14,11:02,Bundesliga,Бавария,JKey,HOME,0,0,0,L,D,L,
80cf2756-1fae-4272-9990-574e4f91f915,2020-04-14,11:02,Bundesliga,Боруссия Дортмунд,Mr.Jab,AWAY,1,0,1,W,D,W,
26cbd6c5-85f2-4775-b810-cc1ab5a7743f,2020-04-14,11:02,Bundesliga,РБ Лейпциг,Bombi1t0,HOME,2,0,2,W,D,W,
26cbd6c5-85f2-4775-b810-cc1ab5a7743f,2020-04-14,11:02,Bundesliga,Боруссия Менхенгладбах,PavlikJuravlik,AWAY,0,0,0,L,D,L,
a85bbd84-5db1-48b0-a8ea-1d13695118b9,2020-04-14,11:14,Bundesliga,Боруссия Дортмунд,Mr.Jab,HOME,1,1,0,L,L,D,
a85bbd84-5db1-48b0-a8ea-1d13695118b9,2020-04-14,11:14,Bundesliga,РБ Лейпциг,Bombi1t0,AWAY,2,2,0,W,W,D,
38e52ed9-65dd-491a-87ca-8807977db72c,2020-04-14,11:14,Bundesliga,Боруссия Менхенгладбах,PavlikJuravlik,HOME,2,2,0,D,W,L,
38e52ed9-65dd-491a-87ca-8807977db72c,2020-04-14,11:14,Bundesliga,Байер 04,d1pseN,AWAY,2,1,1,D,L,W,
c43e3050-bb6e-45a2-a64e-dcc9c0b15219,2020-04-14,11:26,Bundesliga,Бавария,JKey,HOME,2,1,1,W,W,W,
c43e3050-bb6e-45a2-a64e-dcc9c0b15219,2020-04-14,11:26,Bundesliga,РБ Лейпциг,Bombi1t0,AWAY,0,0,0,L,L,L,
915c3d34-ecff-4cb5-a88a-008b9217c3b0,2020-04-14,11:26,Bundesliga,Боруссия Дортмунд,Mr.Jab,HOME,1,0,1,W,D,W,
915c3d34-ecff-4cb5-a88a-008b9217c3b0,2020-04-14,11:26,Bundesliga,Байер 04,d1pseN,AWAY,0,0,0,L,D,L,
2cdd804f-4b32-4e72-8fca-b30c05a0b34a,2020-04-14,11:38,Bundesliga,Байер 04,d1pseN,HOME,3,3,0,W,W,L,
2cdd804f-4b32-4e72-8fca-b30c05a0b34a,2020-04-14,11:38,Bundesliga,Бавария,JKey,AWAY,1,0,1,L,L,W,
86b6a118-d5e2-4c93-babc-2743ca573e34,2020-04-14,11:38,Bundesliga,Боруссия Менхенгладбах,PavlikJuravlik,HOME,0,0,0,L,L,D,
86b6a118-d5e2-4c93-babc-2743ca573e34,2020-04-14,11:38,Bundesliga,Боруссия Дортмунд,Mr.Jab,AWAY,1,1,0,W,W,D,
8cfa5a31-64cc-4594-af43-5080e73a258b,2020-04-14,11:50,Bundesliga,Бавария,JKey,HOME,1,0,1,D,D,D,
8cfa5a31-64cc-4594-af43-5080e73a258b,2020-04-14,11:50,Bundesliga,Боруссия Менхенгладбах,PavlikJuravlik,AWAY,1,0,1,D,D,D,
bf0bd69c-c7a0-4baa-b418-41060ffe4016,2020-04-14,11:50,Bundesliga,РБ Лейпциг,Bombi1t0,HOME,0,0,0,L,L,L,
bf0bd69c-c7a0-4baa-b418-41060ffe4016,2020-04-14,11:50,Bundesliga,Байер 04,d1pseN,AWAY,2,1,1,W,W,W,
977cfe03-daaa-4097-a6d6-54b17f95fccb,2020-04-14,12:02,Bundesliga,Боруссия Дортмунд,Mr.Jab,HOME,2,2,0,W,W,L,
977cfe03-daaa-4097-a6d6-54b17f95fccb,2020-04-14,12:02,Bundesliga,Бавария,JKey,AWAY,1,0,1,L,L,W,
558144da-afc6-4556-87a2-8133fb3c6d80,2020-04-14,12:02,Bundesliga,Боруссия Менхенгладбах,PavlikJuravlik,HOME,0,0,0,D,D,D,
558144da-afc6-4556-87a2-8133fb3c6d80,2020-04-14,12:02,Bundesliga,РБ Лейпциг,Bombi1t0,AWAY,0,0,0,D,D,D,
928095bf-6aa0-4646-b668-6c05b29174bb,2020-04-14,12:14,Bundesliga,Байер 04,d1pseN,HOME,2,2,0,L,L,D,
928095bf-6aa0-4646-b668-6c05b29174bb,2020-04-14,12:14,Bundesliga,Боруссия Менхенгладбах,PavlikJuravlik,AWAY,3,3,0,W,W,D,
03248e40-bb7b-4408-a46d-a77dafbdca57,2020-04-14,12:14,Bundesliga,РБ Лейпциг,Bombi1t0,HOME,0,0,0,L,D,L,
03248e40-bb7b-4408-a46d-a77dafbdca57,2020-04-14,12:14,Bundesliga,Боруссия Дортмунд,Mr.Jab,AWAY,1,0,1,W,D,W,
12d8ff10-7ed7-4789-b1a2-f27141f6e211,2020-04-14,19:26,Champions League,Барселона,orlovsky1,HOME,0,0,0,L,L,D,
12d8ff10-7ed7-4789-b1a2-f27141f6e211,2020-04-14,19:26,Champions League,Реал Мадрид,Inquisitor,AWAY,1,1,0,W,W,D,
a699d0a6-ded8-4db6-8098-8c32f9b9320a,2020-04-14,19:26,Champions League,ПСЖ,Olle,HOME,1,0,1,L,L,W,
a699d0a6-ded8-4db6-8098-8c32f9b9320a,2020-04-14,19:26,Champions League,Манчестер Сити,mooneycb,AWAY,2,2,0,W,W,L,
a0325045-e5eb-4770-bd24-a7da5d58c79f,2020-04-14,19:38,Champions League,Манчестер Сити,mooneycb,HOME,0,0,0,D,D,D,
a0325045-e5eb-4770-bd24-a7da5d58c79f,2020-04-14,19:38,Champions League,Барселона,orlovsky1,AWAY,0,0,0,D,D,D,
cf9e7e72-4ac1-4d5b-ab48-9937b19278be,2020-04-14,19:38,Champions League,Реал Мадрид,Inquisitor,HOME,1,1,0,L,D,L,
cf9e7e72-4ac1-4d5b-ab48-9937b19278be,2020-04-14,19:38,Champions League,Ливерпуль,white_boy1927,AWAY,2,1,1,W,D,W,
6cc8bb28-94d6-4036-8af5-5cdb69e75261,2020-04-14,19:50,Champions League,Барселона,orlovsky1,HOME,1,0,1,L,D,L,
6cc8bb28-94d6-4036-8af5-5cdb69e75261,2020-04-14,19:50,Champions League,ПСЖ,Olle,AWAY,2,0,2,W,D,W,
b7e3bbde-5907-4166-9942-f16819a41681,2020-04-14,19:50,Champions League,Ливерпуль,white_boy1927,HOME,0,0,0,D,D,D,
b7e3bbde-5907-4166-9942-f16819a41681,2020-04-14,19:50,Champions League,Манчестер Сити,mooneycb,AWAY,0,0,0,D,D,D,
e17dd2c2-1647-4a3f-b2e3-d091db8dab24,2020-04-14,20:02,Champions League,Манчестер Сити,mooneycb,HOME,1,1,0,L,D,L,
e17dd2c2-1647-4a3f-b2e3-d091db8dab24,2020-04-14,20:02,Champions League,Реал Мадрид,Inquisitor,AWAY,2,1,1,W,D,W,
d0977724-b374-4d48-a3b5-0d5eac0cb9cb,2020-04-14,20:02,Champions League,ПСЖ,Olle,HOME,1,0,1,D,L,W,
d0977724-b374-4d48-a3b5-0d5eac0cb9cb,2020-04-14,20:02,Champions League,Ливерпуль,white_boy1927,AWAY,1,1,0,D,W,L,
bbffff52-8465-4a90-af7d-52c61ad0cd38,2020-04-14,20:14,Champions League,Ливерпуль,white_boy1927,HOME,0,0,0,L,L,L,
bbffff52-8465-4a90-af7d-52c61ad0cd38,2020-04-14,20:14,Champions League,Барселона,orlovsky1,AWAY,2,1,1,W,W,W,
f5c06d93-4027-4337-ae48-0c55fb21b350,2020-04-14,20:14,Champions League,Реал Мадрид,Inquisitor,HOME,3,1,2,W,W,W,
f5c06d93-4027-4337-ae48-0c55fb21b350,2020-04-14,20:14,Champions League,ПСЖ,Olle,AWAY,0,0,0,L,L,L,
46f39954-95df-4911-bbfa-874243feca0a,2020-04-14,20:26,Champions League,Манчестер Сити,mooneycb,HOME,2,1,1,W,D,W,
46f39954-95df-4911-bbfa-874243feca0a,2020-04-14,20:26,Champions League,ПСЖ,Olle,AWAY,1,1,0,L,D,L,
858f57ec-ede0-454f-b5a6-5905b20d1fcd,2020-04-14,20:26,Champions League,Реал Мадрид,Inquisitor,HOME,0,0,0,D,D,D,
858f57ec-ede0-454f-b5a6-5905b20d1fcd,2020-04-14,20:26,Champions League,Барселона,orlovsky1,AWAY,0,0,0,D,D,D,
d60734fc-7689-4433-b183-88b1dd40aa41,2020-04-14,20:38,Champions League,Барселона,orlovsky1,HOME,0,0,0,D,D,D,
d60734fc-7689-4433-b183-88b1dd40aa41,2020-04-14,20:38,Champions League,Манчестер Сити,mooneycb,AWAY,0,0,0,D,D,D,
126f669a-df38-4ed5-907c-57bf4a458da3,2020-04-14,20:38,Champions League,Ливерпуль,white_boy1927,HOME,2,1,1,W,W,W,
126f669a-df38-4ed5-907c-57bf4a458da3,2020-04-14,20:38,Champions League,Реал Мадрид,Inquisitor,AWAY,0,0,0,L,L,L,
6f5b8d60-a741-41d8-b050-208ddebb229d,2020-04-14,20:50,Champions League,Манчестер Сити,mooneycb,HOME,1,1,0,L,D,L,
6f5b8d60-a741-41d8-b050-208ddebb229d,2020-04-14,20:50,Champions League,Ливерпуль,white_boy1927,AWAY,3,1,2,W,D,W,
4769f32c-aad9-4d34-aa0f-bb456f0a185e,2020-04-14,20:50,Champions League,ПСЖ,Olle,HOME,0,0,0,D,D,D,
4769f32c-aad9-4d34-aa0f-bb456f0a185e,2020-04-14,20:50,Champions League,Барселона,orlovsky1,AWAY,0,0,0,D,D,D,
bb9c2195-21fa-4f0a-b508-0b22e8126110,2020-04-14,21:02,Champions League,Ливерпуль,white_boy1927,HOME,0,0,0,L,D,L,
bb9c2195-21fa-4f0a-b508-0b22e8126110,2020-04-14,21:02,Champions League,ПСЖ,Olle,AWAY,1,0,1,W,D,W,
6b4134dd-2227-4e33-8824-65115a4f5a32,2020-04-14,21:02,Champions League,Реал Мадрид,Inquisitor,HOME,1,0,1,W,D,W,
6b4134dd-2227-4e33-8824-65115a4f5a32,2020-04-14,21:02,Champions League,Манчестер Сити,mooneycb,AWAY,0,0,0,L,D,L,
0c4771b6-0e19-47ff-8e12-f123ebc9c01a,2020-04-14,21:14,Champions League,Барселона,orlovsky1,HOME,1,0,1,L,L,L,
0c4771b6-0e19-47ff-8e12-f123ebc9c01a,2020-04-14,21:14,Champions League,Ливерпуль,white_boy1927,AWAY,3,1,2,W,W,W,
18816447-dad8-411a-8260-588b387cd935,2020-04-14,21:14,Champions League,ПСЖ,Olle,HOME,4,1,3,W,W,W,
18816447-dad8-411a-8260-588b387cd935,2020-04-14,21:14,Champions League,Реал Мадрид,Inquisitor,AWAY,1,0,1,L,L,L,
384d2b48-7a4a-4195-b29c-d1552761ff2a,2020-04-14,00:08,Champions League B,Бавария,Upcake22,HOME,1,1,0,D,W,L,
