game_id,date,time,league,team,player,place,full_time,first_ht,second_ht,result_full_time,result_first_ht,result_second_ht
5e6c4a59-811f-4e10-82a7-d8a89be3eb9a,2020-04-23,10:26,Bundesliga,Бавария,KravaRK,HOME,2,0,2,W,D,W
5e6c4a59-811f-4e10-82a7-d8a89be3eb9a,2020-04-23,10:26,Bundesliga,Боруссия Дортмунд,Mr.Jab,AWAY,0,0,0,L,D,L
48ec4b62-75b6-4f67-9bb6-f9a5045c3f6f,2020-04-23,10:26,Bundesliga,РБ Лейпциг,Bombi1t0,HOME,3,1,2,W,D,W
48ec4b62-75b6-4f67-9bb6-f9a5045c3f6f,2020-04-23,10:26,Bundesliga,Байер 04,Lomik,AWAY,2,1,1,L,D,L
cb2ad17c-7795-4812-8010-9eee074b829b,2020-04-23,10:38,Bundesliga,Байер 04,Lomik,HOME,1,1,0,D,D,D
cb2ad17c-7795-4812-8010-9eee074b829b,2020-04-23,10:38,Bundesliga,Боруссия Менхенгладбах,Skromnuy,AWAY,1,1,0,D,D,D
21ad2e52-963d-4a8d-9bf6-2fd747863734,2020-04-23,10:38,Bundesliga,Боруссия Дортмунд,Mr.Jab,HOME,1,0,1,L,L,W
21ad2e52-963d-4a8d-9bf6-2fd747863734,2020-04-23,10:38,Bundesliga,РБ Лейпциг,Bombi1t0,AWAY,2,2,0,W,W,L
420c104f-2c51-4ebb-bfe6-496a9a3fc3a5,2020-04-23,10:50,Bundesliga,Боруссия Менхенгладбах,Skromnuy,HOME,0,0,0,L,L,D
420c104f-2c51-4ebb-bfe6-496a9a3fc3a5,2020-04-23,10:50,Bundesliga,Боруссия Дортмунд,Mr.Jab,AWAY,1,1,0,W,W,D
eef2f2b4-7042-4405-9657-711997739fb7,2020-04-23,10:50,Bundesliga,РБ Лейпциг,Bombi1t0,HOME,1,0,1,L,L,D
eef2f2b4-7042-4405-9657-711997739fb7,2020-04-23,10:50,Bundesliga,Бавария,KravaRK,AWAY,2,1,1,W,W,D
e88c57d0-e0b9-4d29-902b-df11ecda0562,2020-04-23,11:02,Bundesliga,Бавария,KravaRK,HOME,0,0,0,D,D,D
e88c57d0-e0b9-4d29-902b-df11ecda0562,2020-04-23,11:02,Bundesliga,Боруссия Менхенгладбах,Skromnuy,AWAY,0,0,0,D,D,D
b6a6be39-7e96-4b85-bcd5-0c306c451c56,2020-04-23,11:02,Bundesliga,Боруссия Дортмунд,Mr.Jab,HOME,2,2,0,W,W,L
b6a6be39-7e96-4b85-bcd5-0c306c451c56,2020-04-23,11:02,Bundesliga,Байер 04,Lomik,AWAY,1,0,1,L,L,W
996d67ef-8851-4025-b6ca-a37aa0bf6d8f,2020-04-23,11:14,Bundesliga,Байер 04,Lomik,HOME,2,2,0,W,W,L
996d67ef-8851-4025-b6ca-a37aa0bf6d8f,2020-04-23,11:14,Bundesliga,Бавария,KravaRK,AWAY,1,0,1,L,L,W
1508766f-0b09-4640-80dc-87c1c3d90ce5,2020-04-23,11:14,Bundesliga,Боруссия Менхенгладбах,Skromnuy,HOME,2,2,0,W,W,L
1508766f-0b09-4640-80dc-87c1c3d90ce5,2020-04-23,11:14,Bundesliga,РБ Лейпциг,Bombi1t0,AWAY,1,0,1,L,L,W
7e90b0b9-9e05-4b70-a290-2e8e2c5cff88,2020-04-23,11:26,Bundesliga,Байер 04,Lomik,HOME,3,1,2,W,W,W
7e90b0b9-9e05-4b70-a290-2e8e2c5cff88,2020-04-23,11:26,Bundesliga,РБ Лейпциг,Bombi1t0,AWAY,0,0,0,L,L,L
3f4bdced-3db9-49d6-b412-0abe17f2cfd0,2020-04-23,11:26,Bundesliga,Боруссия Дортмунд,Mr.Jab,HOME,0,0,0,L,D,L
3f4bdced-3db9-49d6-b412-0abe17f2cfd0,2020-04-23,11:26,Bundesliga,Бавария,KravaRK,AWAY,1,0,1,W,D,W
38a68279-adce-499c-95da-9cfd3487a4b6,2020-04-23,11:38,Bundesliga,Боруссия Менхенгладбах,Skromnuy,HOME,0,0,0,D,D,D
38a68279-adce-499c-95da-9cfd3487a4b6,2020-04-23,11:38,Bundesliga,Байер 04,Lomik,AWAY,0,0,0,D,D,D
9b435a86-35fb-4491-b5aa-0880c4caa255,2020-04-23,11:38,Bundesliga,РБ Лейпциг,Bombi1t0,HOME,1,0,1,D,D,D
9b435a86-35fb-4491-b5aa-0880c4caa255,2020-04-23,11:38,Bundesliga,Боруссия Дортмунд,Mr.Jab,AWAY,1,0,1,D,D,D
