game_id,date,time,league,team,player,place,full_time,first_ht,second_ht,result_full_time,result_first_ht,result_second_ht
56ac9704-8098-4c57-8e46-4cd762c4a1fc,2020-04-17,10:26,Bundesliga,Байер 04,Skromnuy,HOME,0,0,0,L,L,D
56ac9704-8098-4c57-8e46-4cd762c4a1fc,2020-04-17,10:26,Bundesliga,Бавария,Lomik,AWAY,2,2,0,W,W,D
199fa439-fdce-4a4a-afea-aaf42880947a,2020-04-17,10:26,Bundesliga,РБ Лейпциг,Arcos,HOME,4,3,1,W,W,D
199fa439-fdce-4a4a-afea-aaf42880947a,2020-04-17,10:26,Bundesliga,Боруссия Дортмунд,Mr.Jab,AWAY,1,0,1,L,L,D
32e75040-5719-4b8a-b255-4a595f01bd38,2020-04-17,10:38,Bundesliga,Бавария,Lomik,HOME,0,0,0,D,D,D
32e75040-5719-4b8a-b255-4a595f01bd38,2020-04-17,10:38,Bundesliga,Боруссия Менхенгладбах,Boulevard_Prospect,AWAY,0,0,0,D,D,D
9383f0d4-eee2-4ec5-a6bd-00965443bc16,2020-04-17,10:38,Bundesliga,Боруссия Дортмунд,Mr.Jab,HOME,0,0,0,L,L,L
9383f0d4-eee2-4ec5-a6bd-00965443bc16,2020-04-17,10:38,Bundesliga,Байер 04,Skromnuy,AWAY,2,1,1,W,W,W
e6a3c3e7-7b9c-447a-bbb8-5232c4775a52,2020-04-17,10:50,Bundesliga,Байер 04,Skromnuy,HOME,0,0,0,L,L,L
e6a3c3e7-7b9c-447a-bbb8-5232c4775a52,2020-04-17,10:50,Bundesliga,РБ Лейпциг,Arcos,AWAY,2,1,1,W,W,W
c2e4461c-4d6a-4413-962f-6ea248a2c8b2,2020-04-17,10:50,Bundesliga,Боруссия Менхенгладбах,Boulevard_Prospect,HOME,0,0,0,L,D,L
c2e4461c-4d6a-4413-962f-6ea248a2c8b2,2020-04-17,10:50,Bundesliga,Боруссия Дортмунд,Mr.Jab,AWAY,1,0,1,W,D,W
a995d09b-52a2-4a98-a067-f638cda76d5f,2020-04-17,11:02,Bundesliga,Боруссия Дортмунд,Mr.Jab,HOME,0,0,0,L,D,L
a995d09b-52a2-4a98-a067-f638cda76d5f,2020-04-17,11:02,Bundesliga,Бавария,Lomik,AWAY,1,0,1,W,D,W
d7753fc3-3625-494b-8be9-5aa16971f71e,2020-04-17,11:02,Bundesliga,РБ Лейпциг,Arcos,HOME,2,1,1,W,W,D
