game_id,date,time,league,team,player,place,full_time,first_ht,second_ht,result_full_time,result_first_ht,result_second_ht
648129c0-254b-40fa-b075-46672e478ad4,2020-04-24,10:26,Bundesliga,Бавария,Lomik,HOME,1,1,0,L,D,L
648129c0-254b-40fa-b075-46672e478ad4,2020-04-24,10:26,Bundesliga,РБ Лейпциг,Arcos,AWAY,3,1,2,W,D,W
726c231f-617b-499d-ac31-c53c688ca655,2020-04-24,10:26,Bundesliga,Боруссия Менхенгладбах,Hrusch,HOME,2,1,1,W,W,D
726c231f-617b-499d-ac31-c53c688ca655,2020-04-24,10:26,Bundesliga,Боруссия Дортмунд,d1pseN,AWAY,1,0,1,L,L,D
98c84dd3-7020-45b5-a8d3-4249bd169d5f,2020-04-24,10:38,Bundesliga,Боруссия Дортмунд,d1pseN,HOME,0,0,0,L,D,L
98c84dd3-7020-45b5-a8d3-4249bd169d5f,2020-04-24,10:38,Bundesliga,Байер 04,LaikingDast,AWAY,4,0,4,W,D,W
a568724f-62ae-46f6-9c25-fba91cb181fe,2020-04-24,10:38,Bundesliga,РБ Лейпциг,Arcos,HOME,0,0,0,L,L,D
a568724f-62ae-46f6-9c25-fba91cb181fe,2020-04-24,10:38,Bundesliga,Боруссия Менхенгладбах,Hrusch,AWAY,1,1,0,W,W,D
70f03d4b-bebf-4def-9dea-ab4f0d2be4ed,2020-04-24,10:50,Bundesliga,Байер 04,LaikingDast,HOME,1,0,1,D,D,D
70f03d4b-bebf-4def-9dea-ab4f0d2be4ed,2020-04-24,10:50,Bundesliga,РБ Лейпциг,Arcos,AWAY,1,0,1,D,D,D
dd25cf62-133b-459f-8774-8382b22849ac,2020-04-24,10:50,Bundesliga,Боруссия Менхенгладбах,Hrusch,HOME,1,1,0,L,W,L
dd25cf62-133b-459f-8774-8382b22849ac,2020-04-24,10:50,Bundesliga,Бавария,Lomik,AWAY,2,0,2,W,L,W
425ed299-2bdc-4c74-a1fe-0cc45bd2bfbb,2020-04-24,11:02,Bundesliga,Бавария,Lomik,HOME,2,0,2,W,D,W
425ed299-2bdc-4c74-a1fe-0cc45bd2bfbb,2020-04-24,11:02,Bundesliga,Байер 04,LaikingDast,AWAY,1,0,1,L,D,L
afe4b788-660f-495b-9c2c-15cd54c41afb,2020-04-24,11:02,Bundesliga,РБ Лейпциг,Arcos,HOME,2,0,2,W,D,W
afe4b788-660f-495b-9c2c-15cd54c41afb,2020-04-24,11:02,Bundesliga,Боруссия Дортмунд,d1pseN,AWAY,0,0,0,L,D,L
ea8480c3-8d15-458b-9717-4aa66e1db304,2020-04-24,11:14,Bundesliga,Байер 04,LaikingDast,HOME,2,2,0,W,W,D
