game_id,date,time,league,team,player,place,full_time,first_ht,second_ht,result_full_time,result_first_ht,result_second_ht
183bab12-91f8-415f-97b5-1c0da9183a9d,2020-04-27,10:26,Bundesliga,Боруссия Менхенгладбах,vrico,HOME,1,0,1,W,D,W
183bab12-91f8-415f-97b5-1c0da9183a9d,2020-04-27,10:26,Bundesliga,Боруссия Дортмунд,d1pseN,AWAY,0,0,0,L,D,L
2f114c76-9e17-438e-b23a-98a3cf2f1dbb,2020-04-27,10:26,Bundesliga,РБ Лейпциг,KravaRK,HOME,0,0,0,L,D,L
2f114c76-9e17-438e-b23a-98a3cf2f1dbb,2020-04-27,10:26,Bundesliga,Байер 04,Bombi1t0,AWAY,1,0,1,W,D,W
bba043c8-523e-4614-97c7-9a1294fa947a,2020-04-27,10:38,Bundesliga,Байер 04,Bombi1t0,HOME,0,0,0,L,L,L
bba043c8-523e-4614-97c7-9a1294fa947a,2020-04-27,10:38,Bundesliga,Боруссия Менхенгладбах,vrico,AWAY,2,1,1,W,W,W
36d36e6f-c514-42ab-b6c4-89ffd20762e7,2020-04-27,10:38,Bundesliga,Боруссия Дортмунд,d1pseN,HOME,0,0,0,D,D,D
36d36e6f-c514-42ab-b6c4-89ffd20762e7,2020-04-27,10:38,Bundesliga,Бавария,Melner,AWAY,0,0,0,D,D,D
d18918ff-cba5-4e46-95eb-90c592e0908f,2020-04-27,10:50,Bundesliga,Бавария,Melner,HOME,0,0,0,L,L,L
d18918ff-cba5-4e46-95eb-90c592e0908f,2020-04-27,10:50,Bundesliga,Байер 04,Bombi1t0,AWAY,2,1,1,W,W,W
45037143-14c2-48f0-9ee8-34b2243b6e7a,2020-04-27,10:50,Bundesliga,Боруссия Менхенгладбах,vrico,HOME,3,0,3,W,L,W
45037143-14c2-48f0-9ee8-34b2243b6e7a,2020-04-27,10:50,Bundesliga,РБ Лейпциг,KravaRK,AWAY,2,2,0,L,W,L
876b3ab2-753c-42a4-b1bc-6c9bef6e1ff8,2020-04-27,11:02,Bundesliga,Байер 04,Bombi1t0,HOME,0,0,0,L,L,D
876b3ab2-753c-42a4-b1bc-6c9bef6e1ff8,2020-04-27,11:02,Bundesliga,Боруссия Дортмунд,d1pseN,AWAY,2,2,0,W,W,D
4d6a31e6-facb-48f8-9290-3a2b45888247,2020-04-27,11:02,Bundesliga,РБ Лейпциг,KravaRK,HOME,1,1,0,D,W,L
4d6a31e6-facb-48f8-9290-3a2b45888247,2020-04-27,11:02,Bundesliga,Бавария,Melner,AWAY,1,0,1,D,L,W
d7069c75-2dbf-431f-8709-deaebe0c629d,2020-04-27,11:14,Bundesliga,Бавария,Melner,HOME,2,1,1,W,W,W
d7069c75-2dbf-431f-8709-deaebe0c629d,2020-04-27,11:14,Bundesliga,Боруссия Менхенгладбах,vrico,AWAY,0,0,0,L,L,L
e4810bc9-3f24-42af-9233-59de9941d34c,2020-04-27,11:14,Bundesliga,Боруссия Дортмунд,d1pseN,HOME,1,1,0,D,D,D
e4810bc9-3f24-42af-9233-59de9941d34c,2020-04-27,11:14,Bundesliga,РБ Лейпциг,KravaRK,AWAY,1,1,0,D,D,D
2533380b-9766-434c-a66c-4166989d875c,2020-04-27,11:26,Bundesliga,Байер 04,Bombi1t0,HOME,1,1,0,D,W,L
2533380b-9766-434c-a66c-4166989d875c,2020-04-27,11:26,Bundesliga,РБ Лейпциг,KravaRK,AWAY,1,0,1,D,L,W
780ffdac-af2c-43b6-838f-4610634cc3f6,2020-04-27,11:26,Bundesliga,Боруссия Дортмунд,d1pseN,HOME,0,0,0,D,D,D
780ffdac-af2c-43b6-838f-4610634cc3f6,2020-04-27,11:26,Bundesliga,Боруссия Менхенгладбах,vrico,AWAY,0,0,0,D,D,D
95b68a5c-cfdf-48df-8017-a564f454cd52,2020-04-27,11:38,Bundesliga,Бавария,Melner,HOME,1,0,1,L,L,D
95b68a5c-cfdf-48df-8017-a564f454cd52,2020-04-27,11:38,Bundesliga,Боруссия Дортмунд,d1pseN,AWAY,2,1,1,W,W,D
010b7a27-bf89-4bb6-aca1-fd84fa2bcf87,2020-04-27,11:38,Bundesliga,Боруссия Менхенгладбах,vrico,HOME,1,0,1,W,D,W
