game_id,date,time,league,team,player,place,full_time,first_ht,second_ht,result_full_time,result_first_ht,result_second_ht
7684274b-14c9-4e9d-a336-fbcfefff3f13,2020-04-18,16:56,Champions League,Барселона,Mr.Jab,HOME,2,1,1,D,W,L
7684274b-14c9-4e9d-a336-fbcfefff3f13,2020-04-18,16:56,Champions League,Реал Мадрид,Bombi1t0,AWAY,2,0,2,D,L,W
60b3173b-472b-48cb-a1a9-7a9a996d4079,2020-04-18,16:56,Champions League,Манчестер Сити,Skromnuy,HOME,4,2,2,W,W,W
60b3173b-472b-48cb-a1a9-7a9a996d4079,2020-04-18,16:56,Champions League,ПСЖ,JKey,AWAY,0,0,0,L,L,L
0ce2b930-6c13-4912-8896-0a3d3d536314,2020-04-18,17:08,Champions League,ПСЖ,JKey,HOME,2,1,1,L,W,L
0ce2b930-6c13-4912-8896-0a3d3d536314,2020-04-18,17:08,Champions League,Ливерпуль,Arcos,AWAY,3,0,3,W,L,W
92bda697-1da9-497e-975f-04e6ab78349f,2020-04-18,17:08,Champions League,Реал Мадрид,Bombi1t0,HOME,0,0,0,D,D,D
92bda697-1da9-497e-975f-04e6ab78349f,2020-04-18,17:08,Champions League,Манчестер Сити,Skromnuy,AWAY,0,0,0,D,D,D
c3b6f5ce-4c2d-498f-8a64-f65c5ace7432,2020-04-18,17:20,Champions League,Ливерпуль,Arcos,HOME,1,0,1,W,D,W
c3b6f5ce-4c2d-498f-8a64-f65c5ace7432,2020-04-18,17:20,Champions League,Реал Мадрид,Bombi1t0,AWAY,0,0,0,L,D,L
c44680c8-cb07-43bb-aa42-5cfd15e3eed7,2020-04-18,17:20,Champions League,Манчестер Сити,Skromnuy,HOME,1,1,0,L,D,L
c44680c8-cb07-43bb-aa42-5cfd15e3eed7,2020-04-18,17:20,Champions League,Барселона,Mr.Jab,AWAY,2,1,1,W,D,W
1396cec0-b934-4032-9795-5ee1aa16aa6d,2020-04-18,17:32,Champions League,Барселона,Mr.Jab,HOME,0,0,0,L,D,L
1396cec0-b934-4032-9795-5ee1aa16aa6d,2020-04-18,17:32,Champions League,Ливерпуль,Arcos,AWAY,1,0,1,W,D,W
1e964f64-e63e-40a3-883c-92085d6a0d80,2020-04-18,17:32,Champions League,Реал Мадрид,Bombi1t0,HOME,2,1,1,D,D,D
1e964f64-e63e-40a3-883c-92085d6a0d80,2020-04-18,17:32,Champions League,ПСЖ,JKey,AWAY,2,1,1,D,D,D
12d2b8a5-a91e-4a8a-b90d-3facbba31c5a,2020-04-18,17:44,Champions League,Ливерпуль,Arcos,HOME,0,0,0,D,D,D
