game_id,date,time,league,team,player,place,full_time,first_ht,second_ht,result_full_time,result_first_ht,result_second_ht,not_parsed
8d1ef857-20ab-42bd-9aaf-b3b756560dc4,2020-04-12,16:56,Champions League,Ливерпуль,Kodak,HOME,0,0,0,L,L,L,
8d1ef857-20ab-42bd-9aaf-b3b756560dc4,2020-04-12,16:56,Champions League,Манчестер Сити,Skromnuy,AWAY,3,1,2,W,W,W,
d30e45f3-0353-4b1e-bbdb-0ae5cbc5d17b,2020-04-12,16:56,Champions League,ПСЖ,KravaRK,HOME,0,0,0,L,L,D,
d30e45f3-0353-4b1e-bbdb-0ae5cbc5d17b,2020-04-12,16:56,Champions League,Реал Мадрид,Arcos,AWAY,2,2,0,W,W,D,
41cf0b45-69b7-487b-a5f8-eda825b1dcdd,2020-04-12,17:08,Champions League,Манчестер Сити,Skromnuy,HOME,1,1,0,W,W,D,
41cf0b45-69b7-487b-a5f8-eda825b1dcdd,2020-04-12,17:08,Champions League,ПСЖ,KravaRK,AWAY,0,0,0,L,L,D,
013623e7-77a2-466c-9d3e-9d232177b3a5,2020-04-12,17:08,Champions League,Реал Мадрид,Arcos,HOME,1,1,0,D,W,L,
013623e7-77a2-466c-9d3e-9d232177b3a5,2020-04-12,17:08,Champions League,Барселона,JKey,AWAY,1,0,1,D,L,W,
a37fef61-6dfa-4e1e-9b20-62d4d726576e,2020-04-12,17:20,Champions League,Барселона,JKey,HOME,1,1,0,D,W,L,
a37fef61-6dfa-4e1e-9b20-62d4d726576e,2020-04-12,17:20,Champions League,Манчестер Сити,Skromnuy,AWAY,1,0,1,D,L,W,
c5dad924-935b-49af-8b78-2a82772bb36e,2020-04-12,17:20,Champions League,ПСЖ,KravaRK,HOME,0,0,0,L,L,D,
c5dad924-935b-49af-8b78-2a82772bb36e,2020-04-12,17:20,Champions League,Ливерпуль,Kodak,AWAY,1,1,0,W,W,D,
f1c40237-803b-49a9-b808-7f3c47f61b58,2020-04-12,17:32,Champions League,Ливерпуль,Kodak,HOME,0,0,0,D,D,D,
f1c40237-803b-49a9-b808-7f3c47f61b58,2020-04-12,17:32,Champions League,Барселона,JKey,AWAY,0,0,0,D,D,D,
12cd9b21-25a0-4875-82fd-e3691cf338cc,2020-04-12,17:32,Champions League,Манчестер Сити,Skromnuy,HOME,3,1,2,W,W,W,
12cd9b21-25a0-4875-82fd-e3691cf338cc,2020-04-12,17:32,Champions League,Реал Мадрид,Arcos,AWAY,0,0,0,L,L,L,
2a0a2177-d4ae-4621-ab37-b53868370991,2020-04-12,17:44,Champions League,Барселона,JKey,HOME,2,1,1,D,D,D,
2a0a2177-d4ae-4621-ab37-b53868370991,2020-04-12,17:44,Champions League,ПСЖ,KravaRK,AWAY,2,1,1,D,D,D,
5e4ca661-2cc5-437a-b0e6-a76e2f6791bf,2020-04-12,17:44,Champions League,Реал Мадрид,Arcos,HOME,1,1,0,D,D,D,
5e4ca661-2cc5-437a-b0e6-a76e2f6791bf,2020-04-12,17:44,Champions League,Ливерпуль,Kodak,AWAY,1,1,0,D,D,D,
0f8714b9-4716-4aa0-9d27-4ef70ef03548,2020-04-12,17:56,Champions League,Манчестер Сити,Skromnuy,HOME,3,1,2,W,D,W,
0f8714b9-4716-4aa0-9d27-4ef70ef03548,2020-04-12,17:56,Champions League,Ливерпуль,Kodak,AWAY,1,1,0,L,D,L,
e3cc115b-4fca-4b9c-8fa9-cc9209706bf9,2020-04-12,17:56,Champions League,Реал Мадрид,Arcos,HOME,2,1,1,W,W,D,
e3cc115b-4fca-4b9c-8fa9-cc9209706bf9,2020-04-12,17:56,Champions League,ПСЖ,KravaRK,AWAY,1,0,1,L,L,D,
b1f59c7a-a35b-47bd-9a16-b740a8618740,2020-04-12,18:08,Champions League,Барселона,JKey,HOME,0,0,0,L,L,L,
b1f59c7a-a35b-47bd-9a16-b740a8618740,2020-04-12,18:08,Champions League,Реал Мадрид,Arcos,AWAY,3,2,1,W,W,W,
c8420f1a-2fb7-429f-b419-2298234aa251,2020-04-12,18:08,Champions League,ПСЖ,KravaRK,HOME,3,1,2,W,W,W,
c8420f1a-2fb7-429f-b419-2298234aa251,2020-04-12,18:08,Champions League,Манчестер Сити,Skromnuy,AWAY,0,0,0,L,L,L,
63d4d2fe-4c9b-46a8-8484-038de7c92c90,2020-04-12,18:20,Champions League,Ливерпуль,Kodak,HOME,4,2,2,W,D,W,
63d4d2fe-4c9b-46a8-8484-038de7c92c90,2020-04-12,18:20,Champions League,ПСЖ,KravaRK,AWAY,2,2,0,L,D,L,
7625af03-cffc-4e45-985e-c9ef4c6b8a0b,2020-04-12,18:20,Champions League,Манчестер Сити,Skromnuy,HOME,1,0,1,W,D,W,
7625af03-cffc-4e45-985e-c9ef4c6b8a0b,2020-04-12,18:20,Champions League,Барселона,JKey,AWAY,0,0,0,L,D,L,
5f098e18-df97-4c0f-b669-da756b5e5f67,2020-04-12,18:32,Champions League,Барселона,JKey,HOME,3,1,2,W,D,W,
5f098e18-df97-4c0f-b669-da756b5e5f67,2020-04-12,18:32,Champions League,Ливерпуль,Kodak,AWAY,1,1,0,L,D,L,
143e45b9-37ef-4c57-a0e8-7d0e0f936b61,2020-04-12,18:32,Champions League,Реал Мадрид,Arcos,HOME,1,0,1,L,L,D,
143e45b9-37ef-4c57-a0e8-7d0e0f936b61,2020-04-12,18:32,Champions League,Манчестер Сити,Skromnuy,AWAY,2,1,1,W,W,D,
772bf80a-4289-4f0a-88e2-a4715c24f5d4,2020-04-12,18:44,Champions League,Ливерпуль,Kodak,HOME,4,3,1,L,W,L,
772bf80a-4289-4f0a-88e2-a4715c24f5d4,2020-04-12,18:44,Champions League,Реал Мадрид,Arcos,AWAY,5,2,3,W,L,W,
8b211313-d626-438e-8b50-ebb11f1999c6,2020-04-12,18:44,Champions League,ПСЖ,KravaRK,HOME,1,0,1,L,L,D,
8b211313-d626-438e-8b50-ebb11f1999c6,2020-04-12,18:44,Champions League,Барселона,JKey,AWAY,3,2,1,W,W,D,
1f1d724e-c9eb-420d-979d-b18590de25a6,2020-04-12,09:56,Champions League B,Наполи,PavlikJuravlik,HOME,1,1,0,D,D,D,
1f1d724e-c9eb-420d-979d-b18590de25a6,2020-04-12,09:56,Champions League B,ПСЖ,vrico,AWAY,1,1,0,D,D,D,
4e3a9520-5b98-45d4-bb16-7c6e1b9e3627,2020-04-12,09:56,Champions League B,Тоттенхэм Хотспур,Foggy,HOME,2,2,0,W,W,D,
4e3a9520-5b98-45d4-bb16-7c6e1b9e3627,2020-04-12,09:56,Champions League B,Бавария,LaikingDast,AWAY,0,0,0,L,L,D,
